id,subject,education_level,chapter,topic_name,reference_component,component_type,student_note_evidence,label,numeric_score,is_hard_negative,source_type,source_reference
REC-BIO-00555,Biology,Class 11,Cell: The Unit of Life,Fluid Mosaic Model of Cell Membrane,"Fluid mosaic model describes cell membrane as a phospholipid bilayer with polar hydrophilic heads outside and nonpolar hydrophobic tails inside, with embedded proteins.",definition,Note: Cell wall in plants is made of cellulose providing structural rigidity.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 11 Biology, Chapter 8, Section 8.5.1"
REC-PHY-00121,Physics,Class 12,Electric Charges and Fields,Field Due to Infinitely Long Straight Wire,Derivation of electric field due to infinitely long wire using Gauss's Law yielding E = lambda / (2 * pi * epsilon_0 * r).,derivation,Long straight wire carries linear charge density lambda.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 12 Physics Part 1, Chapter 1, Section 1.15"
REC-CHE-00401,Chemistry,Class 11,Equilibrium,Le Chatelier's Principle,"Le Chatelier's principle states that if a dynamic equilibrium is disturbed by changing concentration, pressure, or temperature, the system shifts to counteract the disturbance.",core_concept,Exothermic reactions shift left when temperature is increased.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Chemistry Part 1, Chapter 7, Section 7.8"
REC-BIO-00632,Biology,Class 12,Molecular Basis of Inheritance,DNA Double Helix Structure,"Watson and Crick DNA double helix model features antiparallel polynucleotide chains with complementary base pairing (A=T with 2 H-bonds, G=C with 3 H-bonds).",definition,Key Point: DNA structure: antiparallel double helix with complementary base pairs A=T (2 H-bonds) and G=C (3 H-bonds). [Summary],FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 12 Biology, Chapter 6, Section 6.1"
REC-MAT-00878,Mathematics,Class 11,Limits and Derivatives,First Principles Derivation,Derivative of function f(x) from first principles is f'(x) = lim_{h->0} [f(x+h) - f(x)] / h.,derivation,Exam Revision: Derivative represents slope of tangent line to curve at point x. (Important for final exam),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Mathematics, Chapter 13, Section 13.5"
REC-GEO-01165,Geography,Class 11,Natural Hazards and Disasters,Causes of Disasters and Mitigation Strategies,"Natural disasters (earthquakes, landslides, GLOF, floods) require proactive mitigation strategies including hazard risk mapping, early warning systems, slope stabilization, and afforestation.",process,Landslides and earthquakes cause severe loss of life and property. (refer to diagram for full details),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7 (Disasters), Section 7.4"
REC-CHE-00475,Chemistry,Class 11,States of Matter,Ideal Gas Equation,"Ideal gas equation P * V = n * R * T combines Boyle's law, Charles's law, and Avogadro's law for ideal gas behavior.",formula,"Note: Ideal gas equation: P V = n R T where P is pressure, V is volume, n is moles, R is gas constant (8.314 J/mol K), and T is absolute temperature. [Ref: NCERT Chapter notes]",FULLY_COVERED,1.0,False,NCERT Textbooks,"NCERT Class 11 Chemistry Part 1, Chapter 5, Section 5.5"
REC-GEO-01073,Geography,Class 11,Fundamentals of Physical Geography,Locating Tectonic Plates on World Map,"Locating and mapping major tectonic plates (Pacific, Eurasian, African, Indo-Australian, North American, South American, Antarctic) on a world map.",process,Earthquakes occur along fault lines and volcanic arcs.,MISSING,0.0,True,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 4, Section 4.4.1"
REC-CHE-00345,Chemistry,Class 12,Electrochemistry,Nernst Equation,Nernst equation for electrode potential E = E_0 - (RT / nF) * ln(Q) where Q is reaction quotient.,formula,Nernst equation calculates electrode potential at non-standard concentration.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 12 Chemistry Part 1, Chapter 3, Section 3.3"
REC-CHE-00405,Chemistry,Class 11,Equilibrium,Le Chatelier's Principle,"Le Chatelier's principle states that if a dynamic equilibrium is disturbed by changing concentration, pressure, or temperature, the system shifts to counteract the disturbance.",core_concept,Exothermic reactions shift left when temperature is increased. (refer to diagram for full details),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Chemistry Part 1, Chapter 7, Section 7.8"
REC-MAT-00875,Mathematics,Class 11,Limits and Derivatives,First Principles Derivation,Derivative of function f(x) from first principles is f'(x) = lim_{h->0} [f(x+h) - f(x)] / h.,derivation,Note: Derivative represents slope of tangent line to curve at point x.,PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Mathematics, Chapter 13, Section 13.5"
REC-GEO-01109,Geography,Class 11,Landforms and their Evolution,Agents of Gradation and River Landforms,"Running water as a geomorphic agent creates erosional landforms (V-shaped valleys, waterfalls, gorges) in youthful stage and depositional landforms (deltas, alluvial fans, levees) in old stage.",process,Running water is a primary agent of gradation shaping Earth's surface. (refer to diagram for full details),PARTIALLY_COVERED,0.5,True,NCERT Textbooks,"NCERT Class 11 Geography, Chapter 7, Section 7.2"
